Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	3679762312	Resume_All			\Default Work Unit\Resume_All	
	3864097025	Pause_All			\Default Work Unit\Pause_All	

Dialogue Event	ID	Name			Wwise Object Path	Notes
	3585983975	Unit_Under_Attack			\Dialogue\Unit_Under_Attack	
	3970659059	Objective_Status			\Dialogue\Objective_Status	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28779853	UNB-HS-HG_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-hs-hg_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	39160
	38027547	WalkieTalkie_OUT_06	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\sfx\walkietalkie_out_06_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_06	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	2296
	54720405	UNB-BM-LO_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-bm-lo_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20548
	58593093	UNB-GG-ST_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-gg-st_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	29080
	61298839	UNB-HS-LO_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-hs-lo_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	36208
	62681434	UNB-RH-OS_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-rh-os_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	22564
	99661973	UNA-GG-LO_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-gg-lo_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20368
	109058487	UNA-GG-AL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-gg-al_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	27280
	110186142	UNA-GG-ST_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\una-gg-st_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	31960
	114039653	UNB-DB-FL_01	D:\Branches\wwise_v2012.2\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\iOS\voices\english(us)\unb-db-fl_01_da78cf94.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20296
